,Title,Event
2586,Maria R. D’Orsogna: Why do animals form swarms?,TED-Ed
2587,Iseult Gillespie: The myth of Prometheus,TED-Ed
2588,Alex Gendler: How does impeachment work?,TED-Ed
2589,Ayana Elizabeth Johnson and Jennifer Jacquet: Will the ocean ever run out of fish?,TED-Ed
2590,Elizabeth Waters: The left brain vs. right brain myth,TED-Ed
2591,Brandon Rodriguez: The power of creative constraints,TED-Ed
2592,Hector Lanz: How do focus groups work?,TED-Ed
2593,Heba Shaheed: Is it bad to hold your pee?,TED-Ed
2594,Emma Bryce: The power of the placebo effect,TED-Ed
2595,Katherine Hampsten: How miscommunication happens (and how to avoid it),TED-Ed
2596,Noah Zandan: The language of lying,TED-Ed
2597,Damon Brown: How to choose your news,TED-Ed
2598,Andrew Bastawrous: A new way to fund health care for the most vulnerable,TED Salon Optum
2599,Peter Bohacek: How does work... work?,TED-Ed
2600,Trevor Maber: Rethinking thinking,TED-Ed
2601,Alex Gendler: Can you solve the rebel supplies riddle?,TED-Ed
2602,Pierre Barreau: How AI could compose a personalized soundtrack to your life,TED2018
2603,Mark Pollock and Simone George: A love letter to realism in a time of grief,TED2018
2604,Fred Krupp: Let's launch a satellite to track a threatening greenhouse gas,TED2018
2605,Sajan Saini: What is the universe expanding into?,TED-Ed
2606,Nikki Clifton: 3 ways businesses can fight sex trafficking,TED@UPS
2607,Nyle DiMarco: Why we need to make education more accessible to the deaf,TEDxKlagenfurt
2608,Ben Cort: What commercialization is doing to cannabis,TEDxMileHigh
2609,Elizabeth Cox: The surprising link between stress and memory,TED-Ed
2610,Yale Fox: Home renters are powerless. Here's how to fix that,TEDxNewYork
2611,Antón García-Abril: How prefab homes can transform affordable housing,TEDxYouth@Beaconstreet
2612,Kate Wagner: I hate McMansions -- and you should too,TEDxMidAtlantic
2613,Gregg Garn: Should teachers get free housing?,TEDxOU
2614,Esther Sullivan: America's most invisible communities -- mobile home parks,TEDxMileHigh
2615,Steve McCarroll: How data is helping us unravel the mysteries of the brain,TEDMED 2017
2616,Tammy Lally: Let's get honest about our money problems,TEDxOrlando
2617,"Sunni Patterson: ""Wild Women""",TEDWomen 2017
2618,Alexandra Sacks: A new way to think about the transition to motherhood,TED Residency
2619,"Francisco Díez-Buzo: Why should you read ""One Hundred Years of Solitude""?",TED-Ed
2620,Halima Aden: How I went from child refugee to international model,TEDxKakumaCamp
2621,Angel Hsu: How China is (and isn't) fighting pollution and climate change,TED2018
2622,Burçin Mutlu-Pakdil: A rare galaxy that's challenging our understanding of the universe,TED2018
2623,Elizabeth Cox: What is imposter syndrome and how can you combat it?,TED-Ed
2624,Nora Atkinson: Why art thrives at Burning Man,TED2018
2625,Dread Scott: How art can shape America's conversation about freedom,TED2018
2626,Elizabeth Cawein: How to build a thriving music scene in your city,TEDxMemphis
2627,Mary Lou Jepsen: How we can use light to see deep inside our bodies and brains,TED2018
2628,Tanya Khovanova: Can you solve the Leonardo da Vinci riddle?,TED-Ed
2629,Leticia Gasca: Don't fail fast -- fail mindfully,TED Salon Brightline Initiative
2630,Leticia Gasca: Una nueva manera de hablar del fracaso en los negocios,TED en Español en NYC
2631,Janet Stovall: How to get serious about diversity and inclusion in the workplace,TED@UPS
2632,"Jessica Pryce: To transform child welfare, take race out of the equation",TED Residency
2633,"Mark Robinson: Why is Aristophanes called ""The Father of Comedy""?",TED-Ed
2634,"Stephen DeBerry: Why the ""wrong side of the tracks"" is usually the east side of cities",TED2018
2635,Chetna Gala Sinha: How women in rural India turned courage into capital,TED2018
2636,"Yelle: ""Interpassion"" / ""Ba$$in""",TED Salon Brightline Initiative
2637,Walter Hood: How urban spaces can preserve history and build community,TED2018
2638,Hasini Jayatilaka: How cancer cells communicate -- and how we can slow them down,TEDxMidAtlantic
2639,Puqun Li: Zen kōans: unsolvable enigmas designed to break your brain,TED-Ed
2640,DK Osseo-Asare: What a scrapyard in Ghana can teach us about innovation,TEDGlobal 2017
2641,Mary Maker: Why I fight for the education of refugee girls (like me),TEDxKakumaCamp
2642,Tina Seelig: The little risks you can take to increase your luck,TED Salon Brightline Initiative
2643,Elizabeth Cox: What really happened to the Library of Alexandria?,TED-Ed
2644,Sydney Chaffee: How teachers can help kids find their political voices,TEDxBeaconStreet
2645,Kai-Fu Lee: How AI can save our humanity,TED2018
2646,Mark Robinson: How the Normans changed the history of Europe,TED-Ed
2647,Dan Finkel: Can you solve the rogue AI riddle?,TED-Ed
2648,Shaylin Schundler: Why does your voice change as you get older?,TED-Ed
2649,Hugo Mercier: How can you change someone's mind?,TED-Ed
2650,Einav Zamir Dembin: Did ancient Troy really exist?,TED-Ed
2651,Christoph Niemann: You are fluent in this language (and don't even know it),TED2018
2652,Ranveer Chandra: Data-driven farming could transform agriculture,TEDxUniversityofRochester
2653,Bronwyn King: You may be accidentally investing in cigarette companies,TEDxSydney
2654,Janell Hobson: The breathtaking courage of Harriet Tubman,TED-Ed
2655,Supasorn Suwajanakorn: Fake videos of real people -- and how to spot them,TED2018
2656,Christina Wallace: How to stop swiping and find your person on dating apps,TED2018
2657,Ian Strange: Home is where the art is,TEDxSydney
2658,Pratik Shah: How AI is making it easier to diagnose disease,TEDGlobal 2017
2659,Lucy Marcil: Why doctors are offering free tax prep in their waiting rooms,TED2018
2660,Tamekia MizLadi Smith: How to train employees to have difficult conversations,TED2018
2661,"Boy Girl Banjo: ""Dead Romance""",TEDNYC
2662,Laura Caccia: The avant-garde frontier of code poetry,TEDxLondon
2663,Ian Barnes: What archaeology and DNA can teach us about prehistoric migration,TEDxLondon
2664,Eugenia Cheng: How abstract mathematics can help us understand the world,TEDxLondon
2665,Elizabeth Cox: A day in the life of an ancient Egyptian doctor,TED-Ed
2666,Stephen Webb: Where are all the aliens?,TED2018
2667,Pablo Santa Cruz: El impacto del marketing en los medicamentos que tomamos,TEDxUTFSM
2668,Karla Souza: Fracaso tras fracaso,TEDxCalzadaDeLosHéroes
2669,Lucas Raspall: Reescribe el cuento de tu vida,TEDxRosario
2670,Daniel Molina: La verdad es mentira,TEDxRiodelaPlata
2671,Juan López-Aranguren: La importancia de la improvisación,TEDxMadrid
2672,Gabriel Heras: Humanizar los cuidados intensivos,TEDxValladolid
2673,Carmen Jiménez Borja: Las palabras de la discriminación,TEDxValladolid
2674,Néstor Guerra: Nuestras mentiras en la vida y en los negocios,TEDxTarragona
2675,Alberto Garín: ¿A quién pertenece el pasado?,TEDxUFM
2676,Fernanda Castillo: La voz del artista,TEDxPitic
2677,Mikhail Zygar: What the Russian Revolution would have looked like on social media,TED2018
2678,Hernán Casciari:  Duelo por la muerte del padre,TEDxRiodelaPlata
2679,Alba Sotorra: Un ejército de mujeres,TEDxReus
2680,Kashmir Hill and Surya Mattu: What your smart devices know (and share) about you,TED2018
2681,Peta Greenfield & Alex Gendler: History vs. Augustus,TED-Ed
2682,Julia Shaw: How memory science can help fight harassment,TEDxLondon
2683,Rebeca Hwang: The power of diversity within yourself,TED2018
2684,Rebeca Hwang: El valor de nuestra diversidad interna,TED en Español en NYC
2685,Francisco Samper: El marketing para terminar guerras,TEDxRosario 2017
2686,Will Marshall: The mission to create a searchable database of Earth's surface,TED2018
2687,Renzo Piano: The genius behind some of the world's most famous buildings,TED2018
2688,"Lili Haydn: ""The Last Serenade""",TED2018
2689,Elizabeth White: An honest look at the personal finance crisis,TEDxVCU
2690,José Américano N L F de Freitas: How exactly does binary code work?,TED-Ed
2691,Dina Katabi: A new way to monitor vital signs (that can see through walls),TED2018
2692,Dan Gibson: How to build synthetic DNA and send it across the internet,TED2018
2693,Dan Knights: How we study the microbes living in your gut,TEDMED 2017
2694,Lina Marieth Hoyos: What is the coldest thing in the world?,TED-Ed
2695,Kola Masha: How farming could employ Africa's young workforce -- and help build peace,TEDGlobal 2017
2696,Gary Liu: The rapid growth of the Chinese internet -- and where it's headed,TED2018
2697,Rebecca Tarvin: Why don't poisonous animals poison themselves?,TED-Ed
2698,Sophie Zadeh: Are there universal expressions of emotion?,TED-Ed
2699,Jakob Magolan: A crash course in organic chemistry,TEDxUIdaho
2700,Jennifer Wilcox: A new way to remove CO2 from the atmosphere,TED2018
2701,Steve Boyes: How we're saving one of Earth's last wild places,TED2018
2702,Lindsay Malloy: Why teens confess to crimes they didn't commit,TEDxFIU
2703,Alison Ledgerwood: A simple trick to improve positive thinking,TEDxUCDavis
2704,Keiichiro Hirano: Love others to love yourself,TEDxKyoto
2705,Lizzie Velásquez: How do you define yourself?,TEDxAustinWomen
2706,"Emily Nagoski: The keys to a happier, healthier sex life",TEDxUniversityofNevada
2707,Penny Chisholm: The tiny creature that secretly powers the planet,TED2018
2708,Rodin Lyasoff: How autonomous flying taxis could change the way you travel,TED2018
2709,Gordon Hamilton: Can you solve the Mondrian squares riddle?,TED-Ed
2710,Travis Rieder: The agony of opioid withdrawal -- and what doctors should tell patients about it,TEDxMidAtlantic
2711,Elizabeth Cox: What causes hallucinations?,TED-Ed
2712,Andrew Youn: What if we supported millions of African farmers in growing more food?,TED2018
2713,"Karen J. Meech: The story of 'Oumuamua, the first visitor from another star system",TED2018
2714,Herminia Ibarra: What does it really mean for leaders to be authentic?,TEDxLondonBusinessSchool
2715,Jackie Gartner-Schmidt: How our voices reveal anxiety,TEDxPittsburgh
2716,Ian Firth: Bridges should be beautiful,TED2018
2717,Paul Rucker: The symbols of systemic racism -- and how to take away their power,TED2018
2718,Caroline Harper: What if we eliminated one of the world's oldest diseases?,TED2018
2719,Joelle Rabow Maletis: The psychology of post-traumatic stress disorder,TED-Ed
2720,Vishaan Chakrabarti: How we can design timeless cities for our collective future,TED2018
2721,James Bridle: The nightmare videos of children's YouTube -- and what's wrong with the internet today,TED2018
2722,Anna Rothschild: Why you should love gross science,TEDxMidAtlantic
2723,Tracey McNamara: How monitoring animal health can predict human disease outbreaks,TEDxUCLA
2724,Emma Bryce: How do your hormones work?,TED-Ed
2725,Reed Hastings: How Netflix changed entertainment -- and where it's headed,TED2018
2726,Essam Daod: How we can bring mental health support to refugees,TED2018
2727,Douglas L. Oliver: The science of hearing,TED-Ed
2728,Ann Curry: How to restore trust in Journalism,TEDxPortland
2729,Poppy Crum: Technology that knows what you're feeling,TED2018
2730,Frans de Waal: The surprising science of alpha males,TEDMED 2017
2731,Adrienne Mayor: Did the Amazons really exist?,TED-Ed
2732,Gastón Acurio: Can home cooking change the world?,TED en Español en NYC
2733,Prosanta Chakrabarty: Four billion years of evolution in six minutes,TED2018
2734,Katlego Kolanyane-Kesupile: How I'm bringing queer pride to my rural village,TEDGlobal 2017
2735,Dr. Robert Talisse: Why we need to put politics in its place,TEDxNashville
2736,Dan Kwartler: What causes insomnia?,TED-Ed
2737,"Giada Gerboni: The incredible potential of flexible, soft robots",TED2018
2738,"Max Tegmark: How to get empowered, not overpowered, by AI",TED2018
2739,Sam Rodriques: What we'll learn about the brain in the next century,TEDxBeaconStreet
2740,Iseult Gillespie: The Irish myth of the Giant's Causeway,TED-Ed
2741,Jason B. Rosenthal: The journey through loss and grief,TED2018
2742,Dan Finkel: Can you solve the giant cat army riddle?,TED-Ed
2743,Greg Gage: How octopuses battle each other,DIY Neuroscience
2744,Greg Gage: The real reason why mosquitoes buzz,DIY Neuroscience
2745,Greg Gage: This computer is learning to read your mind,DIY Neuroscience
2746,Greg Gage: How you can make a fruit fly eat veggies,DIY Neuroscience
2747,Greg Gage: How sound can hack your memory while you sleep,DIY Neuroscience
2748,Greg Gage: How a dragonfly's brain is designed to kill,DIY Neuroscience
2749,John Doerr: Why the secret to success is setting the right goals,TED2018
2750,Heidi M. Sosik: The discoveries awaiting us in the ocean's twilight zone,TED2018
2751,Sophie Scott: Why we should take laughter more seriously,TEDxExeter
2752,Olga Yurkova: Inside the fight against Russia's fake news empire,TED2018
2753,Enric Sala: Por qué necesitamos proteger el alta mar,TED en Español en NYC
2754,Enric Sala: Let's turn the high seas into the world's largest nature reserve,TED2018
2755,Yasmin Green: How technology can fight extremism and online harassment,TED2018
2756,Stephen Trzeciak: Healthcare's compassion crisis,TEDxPenn
2757,Brett Hennig: What if we replaced politicians with randomly selected people?,TEDxDanubia
2758,Chera Kowalski: The critical role librarians play in the opioid crisis,TEDMED 2017
2759,Oskar Eustis: Why theater is essential to democracy,TED2018
2760,Aaswath Raman: How we can turn the cold of outer space into a renewable resource,TED2018
2761,Lauren Pharr: How vultures can help solve crimes,TEDxLSU
2762,tobacco brown: What gardening taught me about life,TED Residency
2763,Raj Panjabi: What if we digitally empowered community health workers?,TED2018
2764,Hugh Herr: How we'll become cyborgs and extend human potential,TED2018
2765,Anushka Naiknaware: A teen scientist's invention to help wounds heal,TEDWomen 2017
2766,Susan Emmett: This simple test can help kids hear better,TEDGlobal 2017
2767,Gene Luen Yang: Comics belong in the classroom,TEDxManhattanBeach
2768,Jeremy Forbes: How to start a conversation about suicide,TED@Westpac
2769,Baroness Beeban Kidron: Why we must protect the digital rights of children,TEDxPlaceDesNations
2770,Madhumita Murgia: How data brokers sell your identity,TEDxExeter
2771,Marta Peirano: The surveillance device you carry around all day,TEDxMadrid
2772,Stefaan Verhulst: Using corporate data to improve our lives,TEDxMidAtlantic
2773,Gaspard Koenig: Do we really own our bodies?,TEDxParis
2774,Amy Edmondson: How to turn a group of strangers into a team,TED Salon Brightline Initiative
2775,Emily Levine: How I made friends with reality,TED2018
2776,Michael Hendryx: The shocking danger of mountaintop removal -- and why it must end,TEDMED 2017
2777,Stephen Trzeciak: Want a happier life? Be more compassionate,TEDxPenn
2778,Kyle Quinn: What marrying an immigrant taught me about cultural bias,TEDxUCincinnati
2779,Michael Rain: What it's like to be the child of immigrants,TED Residency
2780,Ingrid Fetell Lee: Where joy hides and how to find it,TED2018
2781,Yuval Noah Harari: Why fascism is so tempting -- and how your data could power it,TED2018
2782,"Helen Gillet: ""You Found Me""",TEDWomen 2017
2783,Nighat Dad: How Pakistani women are taking the internet back,TEDGlobal 2017
2784,Robert Neuwirth: The age-old sharing economies of Africa -- and why we should scale them,TEDGlobal 2017
2785,"Kirsty Duncan: Scientists must be free to learn, to speak and to challenge",TED2018
2786,"Rola Hallam: The doctors, nurses and aid workers rebuilding Syria",TED2018
2787,Sarah Montana: Why forgiveness is worth it,TEDxLincolnSquare
2788,"Kate Raworth: A healthy economy should be designed to thrive, not grow",TED2018
2789,Emily Nagoski: The truth about unwanted arousal,TED2018
2790,"Thandiswa Mazwai: ""Iyeza"" / ""Zabalaza""",TEDGlobal 2017
2791,LB Hannahs: What it's like to be a transgender dad,TEDxUF
2792,Simone Giertz: Why you should make useless things,TED2018
2793,Sarah Murray: A playful solution to the housing crisis,TED@Westpac
2794,Sarah Dudas: Microplastics are everywhere -- but we can do something about them,TEDxBinghamtonUniversity
2795,Erricka Bridgeford: How Baltimore called a ceasefire,TEDxMidAtlantic 2017
2796,Priya Vulchi and Winona Guo: What it takes to be racially literate,TEDWomen 2017
2797,Kevin Etter: I am the donation,TED@UPS
2798,Frances Frei: How to build (and rebuild) trust,TED2018
2799,Rébecca Kleinberger: Why you don't like the sound of your own voice,TEDxBeaconStreet
2800,"Tania Douglas: To design better tech, understand context",TEDGlobal 2017
2801,Laura L. Dunn: It's time for the law to protect victims of gender violence,TED2018
2802,John Amory: How a male contraceptive pill could work,TEDMED 2017
2803,Eric Berridge: Why tech needs the humanities,TED@IBM
2804,Steven Pinker: Is the world getting better or worse? A look at the numbers,TED2018
2805,Dylan Marron: Empathy is not endorsement,TED2018
2806,"Qudus Onikeku and The QTribe: ""RainMakers""",TEDGlobal 2017
2807,Glen Henry: What I've learned about parenting as a stay-at-home dad,TEDxMidAtlantic
2808,Sarah Donnelly: How work kept me going during my cancer treatment,TED@Westpac
2809,Tracee Ellis Ross: A woman's fury holds lifetimes of wisdom,TED2018
2810,"Dayo Ogunyemi: Visions of Africa's future, from African filmmakers",TEDGlobal 2017
2811,Clemantine Wamariya: War and what comes after,TEDWomen 2017
2812,Gwynne Shotwell: SpaceX's plan to fly you across the globe in 30 minutes,TED2018
2813,Diane Wolk-Rogers: A Parkland teacher's homework for us all,TED2018
2814,Zachary R. Wood: Why it's worth listening to people you disagree with,TED2018
2815,"Nancy Rabalais: The ""dead zone"" of the Gulf of Mexico",TEDWomen 2017
2816,Mark Tyndall: The harm reduction model of drug addiction treatment,TEDMED 2017
2817,"Hannah Bürckstümmer: A printable, flexible, organic solar cell","TED@Merck KGaA, Darmstadt, Germany"
2818,Yasin Kakande: What's missing in the global debate over refugees,TED2018
2819,"Mother London: ""AI therapy""",TED2018
2820,"Duncan Cowles: ""It's not amazing enough""",TED2018
2821,"Aaron Duffy, Lake Buckley and Jack Foster: ""Illusions for a better society""",TED2018
2822,"Shane Griffin: ""Chromatic""",TED2018
2823,Robin Steinberg: What if we ended the injustice of bail?,TED2018
2824,Jaron Lanier: How we need to remake the internet,TED2018
2825,Malika Whitley: How the arts help homeless youth heal and build,TED Residency
2826,Lera Boroditsky: How language shapes the way we think,TEDWomen 2017
2827,José Andrés: How a team of chefs fed Puerto Rico after Hurricane Maria,TEDxMidAtlantic
2828,Tara Houska: The Standing Rock resistance and our fight for Indigenous rights,TEDWomen 2017
2829,Kasiva Mutua: How I use the drum to tell my story,TEDGlobal 2017
2830,Danny Hillis: Should we create a solar shade to cool the earth?,TED2017
2831,"Andrew Dent: To eliminate waste, we need to rediscover thrift",TEDNYC
2832,Raj Panjabi: Community health heroes,Torchbearers
2833,"JR: Undocumented lives, inside out",Torchbearers
2834,Karen Armstrong: Passion for compassion,Torchbearers
2835,Jamie Oliver: Food revolutionaries,Torchbearers
2836,Sarah Parcak: Armchair archaeologist,Torchbearers
2837,Drew Philp: My $500 house in Detroit -- and the neighbors who helped me rebuild it,TEDNYC
2838,Irina Kareva: Math can help uncover cancer's secrets,"TED@Merck KGaA, Darmstadt, Germany"
2839,Anika Hazra: A simple way to tell insects apart,TED-Ed
2840,Raphael Arar: How we can teach computers to make sense of our emotions,TED@IBM
2841,Christian Picciolini: My descent into America's neo-Nazi movement -- and how I got out,TEDxMileHigh
2842,Judith Heumann: Our fight for disability rights -- and why we're not done yet,TEDxMidAtlantic
2843,Leo Igwe: Why I choose humanism over faith,TEDGlobal 2017
2844,Ndidi Nwuneli: The role of faith and belief in modern Africa,TEDGlobal 2017
2845,Graham Shaw: Why people believe they can't draw,TEDxHull
2846,Ashley Graham: Plus-size? More like my size,TEDxBerkleeValencia
2847,Sam Berns: My philosophy for a happy life,TEDxMidAtlantic 2013
2848,Cal Newport: Why you should quit social media,TEDxTysons
2849,Mel Robbins: How to stop screwing yourself over,TEDxSF
2850,Mariana Atencio: What makes you special?,TEDxUniversityofNevada
2851,Erica Stone: Academic research is publicly funded -- why isn't it publicly available?,TEDxMileHighWomen
2852,Mennat El Ghalid: How fungi recognize (and infect) plants,TEDGlobal 2017
2853,Vikram Sharma: How quantum physics can make encryption stronger,TED@Westpac
2854,Matthias Müllenbeck: What if we paid doctors to keep people healthy?,"TED@Merck KGaA, Darmstadt, Germany"
2855,Amishi Jha: How to tame your wandering mind,TEDxCoconutGrove
2856,Sauti Sol: The rhythm of Afrobeat,TEDGlobal 2017
2857,Eve Abrams: The human stories behind mass incarceration,TEDWomen 2017
2858,Vittorio Loreto: Need a new idea? Start at the edge of what is known,TED@BCG Milan
2859,"Soka Moses: For survivors of Ebola, the crisis isn't over",TEDMED 2017
2860,Bob Stein: A rite of passage for late life,TED Residency
2861,Liz Ogbu: What if gentrification was about healing communities instead of displacing them?,TEDWomen 2017
2862,Adong Judith: How I use art to bridge misunderstanding,TEDGlobal 2017
2863,Chris Nowinski: Can I have your brain? The quest for truth on concussions and CTE,TEDxBeaconStreet
2864,Sally Kohn: What we can do about the culture of hate,TEDWomen 2017
2865,"Rei: ""my mama"" / ""BLACK BANANA""",TED Salon Brightline Initiative
2866,Hadi Eldebek: Why must artists be poor?,TED Residency
2867,Emma Rodero: Cómo darle credibilidad a tu voz,TEDxMalagueta
2868,Isabel Wilkerson: The Great Migration and the power of a single decision,TEDWomen 2017
2869,Margaret Gould Stewart: How the hyperlink changed everything,Small Thing Big Idea
2870,David Rockwell: The hidden ways stairs shape your life,Small Thing Big Idea
2871,Isaac Mizrahi: How the button changed fashion,Small Thing Big Idea
2872,"Paola Antonelli: The 3,000-year history of the hoodie",Small Thing Big Idea
2873,Kyra Gaunt: How the jump rope got its rhythm,Small Thing Big Idea
2874,Daniel Engber: How the progress bar keeps you sane,Small Thing Big Idea
2875,Caroline Weaver: Why the pencil is perfect,Small Thing Big Idea
2876,Michael Bierut: The genius of the London Tube Map,Small Thing Big Idea
2877,Daniel Susskind: 3 myths about the future of work (and why they're not true),"TED@Merck KGaA, Darmstadt, Germany"
2878,Jacy Reese Anthis: Why we should end animal agriculture,TEDxUniversityofMississippi
2879,Alvin Irby: How to inspire every child to be a lifelong reader,TED Residency
2880,Deanna Van Buren: What a world without prisons could look like,TEDWomen 2017
2881,"Iké Udé: The radical beauty of Africa, in portraits",TEDGlobal 2017
2882,Sophie Andrews: The best way to help is often just to listen,TEDMED 2017
2883,WorkLife with Adam Grant: The Daily Show's secret to creativity,WorkLife with Adam Grant
2884,"Musimbi Kanyoro: To solve the world's biggest problems, invest in women and girls",TEDWomen 2017
2885,Simone Bianco and Tom Zimmerman: The wonderful world of life in a drop of water,TED@IBM
2886,Naomi Klein: How shocking events can spark positive change,TEDGlobal>NYC
2887,Kaustav Dey: How fashion helps us express who we are -- and what we stand for,TED@Tommy
2888,Petter Johansson:  Do you really know why you do what you do?,TEDxUppsalaUniversity
2889,Marc Bamuthi Joseph: What soccer can teach us about freedom,TEDGlobal 2017
2890,Minda Dentler: What I learned when I conquered the world's toughest triathlon,TEDWomen 2017
2891,Bill Bernat: How to connect with depressed friends,TEDxSnoIsleLibraries
2892,Felice Belle and Jennifer Murphy: How we became sisters,TEDWomen 2017
2893,Shameem Akhtar: To learn is to be free,TEDWomen 2017
2894,Dustin Schroeder: How we look kilometers below the Antarctic ice sheet,TEDxStanford
2895,Shawn Martinbrough: How I change perceptions by drawing comics,TEDxMidAtlantic 2017
2896,Wendy Suzuki: The brain-changing benefits of exercise,TEDWomen 2017
2897,Chuck Nice: A funny look at the unintended consequences of technology,TED2017
2898,Raymond Tang: Be humble -- and other lessons from the philosophy of water,TED@Westpac
2899,Ilona Stengel: The role of human emotions in science and research,"TED@Merck KGaA, Darmstadt, Germany"
2900,Howard C. Stevenson: How to resolve racially stressful situations,TEDMED 2017
2901,Tapiwa Chiwewe: You don't have to be an expert to solve big problems,TED@IBM
2902,"Robert Hakiza: Refugees want empowerment, not handouts",TEDGlobal 2017
2903,"Tiffany Kagure Mugo and Siphumeze Khundayi: How to have a healthier, positive relationship to sex",TEDWomen 2017
2904,Nilay Kulkarni: A life-saving invention that prevents human stampedes,TEDNYC
2905,"Jason Shen: Looking for a job? Highlight your ability, not your experience",TED Residency
2906,"Margaret Mitchell: How we can build AI to help humans, not hurt us",TED@BCG Milan
2907,Tanya Menon: The secret to great opportunities? The person you haven't met yet,TEDxOhioStateUniversity
2908,Amit Kalra: 3 creative ways to fix fashion's waste problem,TED@Tommy
2909,Rowan Fitzpatrick and Heart of Mind: Facing the future together,TED@Westpac
2910,Shadé Zahrai and Aric Yegudkin: The rhythmic beauty of collaboration,TED@Westpac
2911,Will Jenkins: The most precious commodity of all?,TED@Westpac
2912,Tomer Garzberg: What happens when we take humans out of work?,TED@Westpac
2913,Rach Ranton: Where are we trying to end up?,TED@Westpac
2914,Olivia Tyler: The complex path to sustainability,TED@Westpac
2915,Michael Mieni: Using Aboriginal traditions to teach tech,TED@Westpac
2916,Linda Zhang: Why schools should teach entrepreneurship,TED@Westpac
2917,Hayley Yeates: It's (past) time to appreciate cultural diversity,TED@Westpac
2918,Alastair O'Neill: When genetic choice becomes personal,TED@Westpac
2919,Walé Oyéjidé: Fashion that celebrates African strength and spirit,TEDGlobal 2017
2920,Dixon Chibanda: Why I train grandmothers to treat depression,TEDWomen 2017
2921,Nina Dølvik Brochmann and Ellen Støkken Dahl: The virginity fraud,TEDxOslo
2922,Marco Alverà: The surprising ingredient that makes businesses work better,TED@BCG Milan
2923,The Holladay Brothers: To the beat of light,TED@IBM
2924,Tanmay Bakshi: Technology that tackles the teen suicide epidemic,TED@IBM
2925,Robin Hauser: Can we protect AI from our biases?,TED@IBM
2926,Rana Novack: How we'll predict the next refugee crisis,TED@IBM
2927,Phil Tetlow: 8 steps to understanding information (and maybe the universe),TED@IBM
2928,Natalie Gunn: The mind-body problem of scientific discovery,TED@IBM
2929,IN-Q: A poet's plea to save our planet,TED@IBM
2930,"The Ferocious Few: ""San Francisco""",TED@IBM
2931,Eleftheria Pissadaki: A mathematical model for predicting Parkinson's,TED@IBM
2932,Bruno Michel: How our brains will keep up with AI,TED@IBM
2933,Adam Cutler: Can we be friends with our AI?,TED@IBM
2934,Vinith Misra: Machines need an algorithm for humor. This is what it looks like,TED@IBM
2935,Shoel Perelman: How a company can nurture its internal rebels,TED@IBM
2936,Robert Prill: The microbes in our food can save lives,TED@IBM
2937,Nir Eyal: What makes technology so habit-forming?,TED@IBM
2938,Maria Dubovitskaya: Take back control of your personal data,TED@IBM
2939,Lloyd Treinish: This weather forecasting model is actually accurate,TED@IBM
2940,"Lisa-Marie Johnston: ""Home to Oakland"" and ""Walk Away""",TED@IBM
2941,Kala Fleming: Easing water scarcity by understanding when and where it flows,TED@IBM
2942,Jerry Chow: The future of supercomputers? A quantum chip colder than outer space,TED@IBM
2943,Jeannette Garcia: A super-strong plastic that reverts to dust,TED@IBM
2944,Jared Kleinert: Why millennials today hold more power than ever before,TED@IBM
2945,Florian Pinel: How IBM's Watson is redefining the future of cooking,TED@IBM
2946,Charlene Li: Efficient leadership in the digital era,TED@IBM
2947,Eric Mibuari: Can credit scores be determined by cellphone data?,TED@IBM
2948,Aaron Horowitz: Can a teddybear change how children relate to their own disease?,TED@IBM
2949,Tan Le: How does the brain work in everyday situations?,TED@IBM
2950,Monika Blaumueller: How we could use big data to forecast the next global outbreak,TED@IBM
2951,Bhu Srinivasan: Capitalism isn't an ideology -- it's an operating system,TED Salon Brightline Initiative
2952,"Mike Sempert: ""Good Morning Young Artist"" and ""Ms. Metronome""",TED@IBM
2953,Marie Wallace: The ethics of collecting data,TED@IBM
2954,Lisa Seacat DeLuca: A vision of the future from IBM's most prolific inventor,TED@IBM
2955,Kareem Yusuf: The importance of emotional tone in the digital age,TED@IBM
2956,Inhi Cho Suh: How to achieve more quality hospital care (with less noise),TED@IBM
2957,"Gianluca Ambrosetti: A local, sustainable solution to the energy crisis",TED@IBM
2958,Erick Brethenoux: The big data behind complex human emotions,TED@IBM
2959,Bryan Kramer: Why social media is reimagining our future,TED@IBM
2960,Wobbly World: Diversity in harmony,TED@IBM
2961,Villy Wang: A business against racism,TED@IBM
2962,Tim Exile: An instrument anyone can play,TED@IBM
2963,Laxmi Parida: What if the best fertilizer was an algorithm?,TED@IBM
2964,Juliane Gallina: A library of minds,TED@IBM
2965,James Kozloski: Can a new brain-circuit model change our thinking about neurodegenerative disease?,TED@IBM
2966,Ise Lyfe: We are not mud,TED@IBM
2967,Bob Nease: How to trick yourself into good behavior,TED@IBM
2968,Andrew Arruda: The world's first AI legal assistant,TED@IBM
2969,Valarie Kaur: 3 lessons of revolutionary love in a time of rage,TEDWomen 2017
2970,"Tito Deler: ""My Fine Reward""",TED@Tommy
2971,Zachariah Mampilly: How protest is redefining democracy around the world,TEDGlobal 2017
2972,Mohamad Jebara: This company pays kids to do their math homework,TED@Westpac
2973,John Brenkus: Why girls and boys should play sports together,TEDxUniversityofNevada
2974,John Cary: How architecture can create dignity for all,TEDWomen 2017
2975,"Su Kahumbu: How we can help hungry kids, one text at a time",TEDGlobal 2017
