,Title,Event
200,"Kathryn M. Stephenson and David L. Suskind: What is a poop transplant, and how does it work?",TED-Ed
201,Chinyanta Kabaso: The dazzling diversity of African dance -- in 14 moves,TED Idea Search: Africa
202,Tsedal Neeley: 4 ways to make hybrid work better for everyone,The Way We Work
203,Sydney Iaukea: The Hawaiian story of the king's betrayal,TED-Ed
204,Alysa McCall: What to do when there's a polar bear in your backyard,TED@DestinationCanada
205,Lindsey A. Sherrill: Are you an ethical true crime fan? 4 questions to ask,TEDxWilsonPark
206,"Tina Yong: The rise of the ""trauma essay"" in college applications",TEDxUBCStudio
207,Susan Freitas and Darren Parker: How does this all-female species reproduce?,TED-Ed
208,Alex Koster: What will the dream car of the future be like?,TED@BCG
209,Marcos Salazar: 5 steps to building a personal brand you feel good about,The Way We Work
210,TED-Ed: The most important century in human history,TED-Ed
211,Ramez Naam: A faster way to get to a clean energy future,TED Countdown Dilemma Series
212,Megan Alubicki Flick: The power of multilingualism in education,TED-Ed Educator Talks
213,Kate Kahle: Why autism is often missed in women and girls,TEDxAustinCollege
214,Malachy McHugh: How stretching actually changes your muscles,TED-Ed
215,Alona Fyshe: Does AI actually understand us?,TED@DestinationCanada
216,Dan Shipper: The unexpected key to boosting your productivity,The Way We Work
217,Dan Finkel: This one weird trick will get you infinite gold,TED-Ed
218,"Melanie Charles: ""Damballa Wedo"" / ""The Dilemma""",TEDWomen 2021
219,TED Countdown: How do we get the world off fossil fuels quickly and fairly?,TED Countdown Dilemma Series
220,Katherine James: How agri-robotics will change the food you eat,TEDxBrayfordPool
221,Alexandra Horowitz: Why all dogs are good dogs,TED Membership
222,Charles Wallace: When you're an ant but also a fungus tycoon,TED-Ed
223,John Paget: How to keep your hometown from becoming a ghost town,TEDxBuffalo
224,"Wendy Suzuki: How to calm your anxiety, from a neuroscientist",The Way We Work
225,Birte Kristiansen and Petra Sijpesteijn: A day in the Islamic Golden Age,TED-Ed
226,Emily Grubert: What happens to gas stations when the world goes electric?,TED Countdown Dilemma Series
227,Cristina Junqueira and Elena Crescia: How to discover your business's competitive advantage,TED@BCG
228,Jerome Hunter: 3 skills every middle school boy needs,TED-Ed Educator Talks
229,Antonio Cataldo: What would happen if you lost your sense of touch?,TED-Ed
230,Paul Bloom: The surprising psychology behind your urge to break the rules,TED@DestinationCanada
231,Nedra Glover Tawwab: Your 3-step guide to setting better boundaries at work,The Way We Work
232,TED-Ed: What happens if an engineered virus escapes the lab?,TED-Ed
233,Ordinary Things: Who owns the internet of the future?,TEDxVienna
234,Catherine Price: 3 elements of true fun -- and how to have more of it,TED Membership
235,Nathalia Holt: The history (and future) of women in STEM,TEDxPasadenaWomen
236,Phnam Bagley: Gourmet food for the final frontier,TED@BCG
237,William T. Taylor: How horses changed history,TED-Ed
238,Kris Alexander: How video games can level up the way you learn,TED@DestinationCanada
239,Rob Cross: How to be a team player -- without burning out,The Way We Work
240,Stephanie Honchell Smith: 6 myths about the Middle Ages that everyone believes,TED-Ed
241,Rebekah Shirley: The clean energy hub of the future,TED Countdown Dilemma Series
242,Michael Middlebrooks: The fantastically weird world of photosynthetic sea slugs,TEDxPSU
243,Tiffani Ashley Bell: How one small idea led to $1 million of paid water bills,TED2022
244,Jean-Baptiste P. Koehl: The continents are moving. When will they collide?,TED-Ed
245,Gala Jackson: How to quit your job -- without ruining your career,The Way We Work
246,Sharif El-Mekki: Reviving the legacy of the Black teaching tradition,TED-Ed Educator Talks
247,TED-Ed: What if you experienced every human life in history?,TED-Ed
248,Saad Bhamla: The fascinating physics of insect pee,TEDMonterey
249,"Jacqueline DiBiasie-Sammons: Ancient Pompeii's hidden messages, preserved in graffiti",TEDxUniversityofMississippi
250,Kate Ackerman: What girls and women in sports need to unlock their potential,TEDxBoston
251,Brendan Rogers and Jessica Howard: What's hidden in Arctic ice?,TED-Ed
252,Tessa Clarke: The surprising climate benefits of sharing your stuff,TED@BCG
253,Ayelet Fishbach: 4 proven ways to kick your procrastination habit,TED Membership
254,Mollie Godfrey: One of the most banned books of all time,TED-Ed
255,Jan Wurzbacher: The massive machines removing carbon from Earth's atmosphere,TED Countdown London Session 2022
